Emotion,Word,Num
qd5,喜欢,1
qd5,希望,1
qd5,可惜,1
qd7,惊喜,1
qd5,希望,1
qd5,强大,1
qd5,喜欢,1
qd3,威武,1
qd3,反派,1
qd3,不错,1
qd3,认可,1
qd5,希望,1
qd5,喜欢,1
qd3,天昏地暗,1
qd3,天昏地暗,1
qd7,精彩,1
qd7,必须,1
qd5,喜欢,1
qd5,真心,1
qd5,真心,1
qd7,好评,1
qd1,闲人,1
qd7,起来,1
qd5,巧妙,1
qd5,权谋,1
qd5,好笑,1
qd7,精彩,1
qd1,猫腻,1
qd5,权谋,1
qd5,真心,1
qd5,真心,1
qd3,不错,1
qd7,人物,1
qd7,精彩,1
qd1,合理,1
qd3,浮夸,1
qd7,好评,1
qd3,不错,2
qd1,猫腻,1
qd9,尴尬,1
qd5,实在,1
qd5,可圈可点,1
qd5,一定,1
qd3,深刻,1
qd3,鲜活,1
qd7,了不起,1
qd7,人物,1
qd5,铺垫,1
qd5,希望,1
qd3,不错,2
qd5,难看,1
qd3,不好,1
qd5,差劲,1
qd5,头晕,1
qd5,不知所云,1
qd5,审美,1
qd5,莫名其妙,2
qd7,相信,1
qd7,大失所望,1
qd5,奇怪,3
qd3,难受,1
qd3,难受,1
qd3,节奏,1
qd5,做作,1
qd3,败笔,1
qd3,节奏,1
qd1,白搭,1
qd9,尴尬,1
qd5,确实,1
qd3,冷酷,1
qd7,主角,1
qd9,猥琐,1
qd5,强行,1
qd5,精明,1
qd3,不了,1
qd5,牺牲,1
qd7,人物,1
qd5,狡猾,1
qd5,情感,1
qd7,起来,1
qd5,权谋,1
qd5,实在,1
qd3,不错,1
qd3,气度,1
qd3,成功,1
qd5,出色,1
qd1,十足,1
qd3,欠缺,1
qd5,可惜,1
qd7,一流,1
qd7,恰如其分,1
qd5,幕后,1
qd5,鸿门宴,1
qd3,喜剧,1
qd5,莫名其妙,1
qd5,稀奇古怪,1
qd3,节奏,1
qd3,前言不搭后语,1
qd9,尴尬,1
qd5,喜欢,1
qd3,自知之明,1
qd5,难看,1
qd3,吓人,1
qd5,欢快,1
qd3,轻快,1
qd1,紧凑,1
qd3,画蛇添足,1
qd7,精彩,1
qd5,莫名其妙,1
qd9,一塌糊涂,1
qd7,亲吻,1
qd3,浮夸,1
qd3,意境,1
qd5,可惜,1
qd3,节奏,1
qd3,深刻,1
qd5,热血,1
qd3,直观,1
qd5,失望,1
qd3,不好,1
qd5,难看,1
qd5,失望,1
qd5,毫不客气,1
qd1,堆砌,1
qd7,主角,1
qd9,忍受,1
qd3,气愤,1
qd5,俗套,1
qd3,喜剧,2
qd3,没意思,1
qd9,经典,1
qd5,鸡肋,1
qd5,失望,1
qd5,不知所云,1
qd7,鹤唳华亭,1
qd9,弱智,1
qd5,权谋,1
qd3,油腻,1
qd3,可怕,1
qd1,实际,1
qd5,大智若愚,1
qd3,乱七八糟,1
qd5,荒诞,1
qd5,有趣,1
qd3,意料之外,1
qd7,幼稚,1
qd3,引人深思,1
qd5,莫名其妙,1
qd5,铺垫,1
qd3,生硬,1
qd5,不够,1
qd3,流畅,1
qd3,节奏,1
qd3,喜剧,1
qd3,浮夸,1
qd5,失望,1
qd7,鹤唳华亭,1
qd5,兴冲冲,1
qd7,浪费,1
qd7,没头苍蝇,1
qd5,漫无目的,1
qd5,光彩,2
qd7,不行,1
qd1,小生,1
qd9,缺点,1
qd5,不够,1
qd5,粗制滥造,1
qd5,可惜,1
qd5,一定,1
qd3,驾驭,1
qd5,通病,1
qd3,不了,1
qd5,胡诌八扯,1
qd5,神奇,1
qd7,鹤唳华亭,1
qd3,佩服,1
qd5,勇气,1
qd5,失望,1
qd7,相信,1
qd5,实在,1
qd3,一本正经,1
qd3,进展,1
qd5,偷偷摸摸,1
qd5,大摇大摆,2
qd1,游荡,1
qd5,难看,1
qd3,无聊,1
qd5,莫名其妙,1
qd5,兴师动众,1
qd5,喜欢,1
qd7,主角,1
qd9,猥琐,1
qd7,浪费,1
qd5,抄袭,1
qd7,主角,2
qd3,厉害,1
qd5,权力,1
qd9,极品,1
qd7,游戏,1
qd3,黑手,1
qd5,奇遇,1
qd3,肯定,2
qd5,美女,1
qd7,主角,1
qd3,严重,1
qd5,漏洞百出,1
qd5,沉稳,1
qd7,人物,1
qd3,喜剧,1
qd3,艺术家,1
qd7,突破,1
qd7,不行,1
qd5,气质,1
qd7,肤浅,1
qd5,失望,1
qd5,不知所云,1
qd5,莫名其妙,1
qd7,起来,1
qd5,恶心,1
qd5,真心,1
qd5,真心,1
qd3,舒服,1
qd9,不凡,1
qd7,主角,1
qd5,高级,1
qd3,超前,1
qd5,一定,1
qd3,味同嚼蜡,1
qd3,败笔,1
qd5,可惜,1
qd5,莫名其妙,1
qd5,强大,1
qd3,难受,1
qd3,难受,1
qd7,黄色,1
qd5,权谋,1
qd5,莫名其妙,1
qd3,正面,1
qd3,不错,1
qd5,俏皮话,1
qd5,霸道,1
qd5,气质,1
qd7,超绝,1
qd3,艰苦,2
qd5,稳重,1
qd5,幕后,1
qd5,离谱,2
qd7,精彩,1
qd5,考究,1
qd1,单薄,1
qd7,不行,1
qd7,鹤唳华亭,1
qd7,文雅,1
qd7,起来,1
qd5,难看,1
qd7,鹤唳华亭,1
qd9,尴尬,1
qd5,浓郁,1
qd7,主角,1
qd5,差劲,1
qd3,冷漠,1
qd5,气质,1
qd5,襟怀,1
qd3,最高,1
qd3,无聊,1
qd9,尴尬,1
qd5,权谋,1
qd5,不够,1
qd3,轻松,1
qd5,奇怪,2
qd7,人物,1
qd3,割裂,1
qd3,不好,1
qd3,健全,1
qd3,舒服,1
qd5,卖弄,1
qd5,差劲,1
qd1,猫腻,1
qd7,人物,1
qd9,假大空,1
qd1,实际,1
qd5,权谋,1
qd5,实在,1
qd3,把玩,1
qd3,忌惮,1
qd5,霸道,1
qd5,权贵,1
qd3,暗杀,1
qd1,担心,1
qd1,猫腻,1
qd3,刀光剑影,1
qd9,不堪入目,1
qd5,顶级,1
qd5,妖魔鬼怪,1
qd7,轻浮,1
qd7,人物,1
qd5,失望,1
qd9,弱智,1
qd5,鉴定,1
qd3,不了,1
qd5,不够,1
qd5,可爱,1
qd7,讨厌,1
qd5,离谱,1
qd7,人物,1
qd7,欣赏,1
qd5,不够,1
qd7,浪费,1
qd5,犯罪,1
qd5,审美,1
qd5,失望,1
qd5,舒畅,1
qd3,仔细,2
qd5,其实,1
qd5,确实,1
qd5,有趣,1
qd5,奇怪,1
qd3,节奏,2
qd5,私生子,1
qd5,少爷,1
qd7,重要,1
qd5,敌意,1
qd3,不好,1
qd7,精彩,1
qd5,失职,1
qd6,捧场,1
qd9,尴尬,1
qd3,不错,1
qd3,说不过去,1
qd5,无语,1
qd3,无时无刻,1
qd5,不快,1
qd5,莫名其妙,1
qd5,理解,1
qd3,节奏,1
qd3,现代化,1
qd5,希望,1
qd5,喜欢,3
qd3,随意,1
qd5,用心,1
qd7,满足,1
qd5,有趣,1
qd3,享受,1
qd3,娱乐,1
qd3,不错,1
qd7,人物,1
qd7,主角,3
qd3,回忆,1
qd3,不了,1
qd3,节奏,1
qd5,歪曲,1
qd7,疯狂,1
qd9,偶像,1
qd5,不可,1
qd7,不行,1
qd1,乐天,1
qd3,人品,1
qd9,最好,1
qd5,支持,2
qd5,公然,1
qd5,值得,1
qd7,一文不值,1
qd9,独步天下,1
qd3,浮夸,1
qd3,友好,1
qd5,义务,1
qd7,悲剧,1
qd9,报仇,3
qd3,无视,1
qd1,国事,1
qd5,牺牲,1
qd7,情谊,1
qd7,顾全大局,1
qd3,呼风唤雨,1
qd5,少爷,1
qd7,君子,1
qd7,凛然,1
qd1,忍让,1
qd5,理解,1
qd5,一定,1
qd7,作弊,1
qd1,小生,1
qd3,契合,1
qd5,功成名就,1
qd3,偏偏,1
qd5,气质,1
qd7,主角,2
qd3,不露声色,1
qd1,手段,1
qd5,风度,1
qd3,真正,1
qd3,真正,1
qd7,不行,1
qd3,漏洞,1
qd3,不好,1
qd5,爱情,1
qd7,主角,1
qd4,毛病,1
qd9,尴尬,2
qd1,猫腻,1
qd9,荒唐,1
qd5,虚构,1
qd5,无语,1
qd3,幽默,1
qd5,刺激,1
qd5,不可多得,1
qd5,独特,1
qd1,紧凑,1
qd3,不错,1
qd5,失望,1
qd3,肯定,1
qd1,惆怅,1
qd3,可见一斑,1
qd3,江河日下,1
qd3,自作聪明,1
qd3,自恋,4
qd5,卖弄,1
qd5,故弄玄虚,1
qd1,散乱,1
qd9,尴尬,1
qd9,无比,1
qd3,胡乱,1
qd3,霸气,1
qd7,人物,1
qd5,不知所云,1
qd1,缓慢,1
qd3,进展,1
qd5,霸道,1
qd5,权谋,2
qd7,才子,1
qd5,文抄公,1
qd9,尴尬,1
qd5,喜欢,1
qd1,过时,1
qd3,自恋,1
qd5,奇怪,1
qd9,佳作,1
qd7,丢人现眼,1
qd5,优秀,1
qd1,大张旗鼓,1
qd7,必须,1
qd5,本色,1
qd1,担心,1
qd5,实在,1
qd7,自以为是,2
qd5,喜欢,2
qd5,实在,1
qd5,随便,1
qd5,雪亮,1
qd7,人物,1
qd7,起来,1
qd3,仔细,1
qd7,妙不可言,1
qd3,好奇,1
qd5,原来,1
qd5,爱情,1
qd3,难受,1
qd3,难受,1
qd7,主角,1
qd7,别扭,1
qd5,权谋,2
qd3,喜剧,2
qd9,尴尬,1
qd5,气质,1
qd5,失望,1
qd7,胡说八道,1
qd3,一本正经,1
qd3,扯淡,1
qd9,装腔作势,1
qd3,无聊,1
qd5,真心,2
qd5,真心,2
qd5,理解,1
qd3,无聊,1
qd7,浪费,1
qd3,享受,1
qd3,出格,1
qd9,朋友,1
qd5,其实,1
qd5,有趣,1
qd5,牺牲,1
qd5,正经,1
qd5,正经,1
qd5,战乱,2
qd7,刺杀,1
qd3,陪衬,1
qd5,众生,1
qd5,铺垫,1
qd3,傻子,1
qd5,权谋,1
qd3,语病,1
qd7,诸如此类,1
qd3,难受,1
qd3,难受,1
qd5,难看,1
qd3,不宜,1
qd7,精彩,1
qd5,歇斯底里,1
qd3,护短,1
qd3,二流,1
qd3,末流,1
qd3,高质量,1
qd3,真实,1
qd7,一流,1
qd5,不忍,1
qd7,主角,1
qd3,缥缈,1
qd5,确实,1
qd5,强大,1
qd9,一无是处,1
qd5,真诚,1
qd1,担心,2
qd3,节奏,1
qd3,不错,1
qd3,舒服,1
qd5,喜欢,1
qd3,感兴趣,1
qd7,奔腾,1
qd3,不了,1
qd5,俏皮,1
qd3,活泼,1
qd9,尴尬,2
qd5,喜欢,1
qd5,摆脱,1
qd1,强硬,1
qd5,可爱,1
qd5,阴谋,1
qd1,模糊,1
qd5,玩弄,1
qd5,人心,1
qd9,极好,1
qd3,庆幸,1
qd3,境界,1
qd5,自豪,1
qd5,高兴,1
qd3,璀璨,1
qd5,仙境,1
qd7,重要,1
qd9,尴尬,1
qd3,真正,1
qd3,真正,1
qd1,展现,1
qd5,刺激,1
qd5,丰富,1
qd3,悬念,1
qd5,喜欢,1
qd7,推荐,1
qd3,节奏,1
qd5,紧张,1
qd5,赏心悦目,1
qd5,赏心悦目,1
qd5,可爱,1
